sourceIP,sourceTransportPort,destinationIP,destinationTransportPort,protocolIdentifier,flowStartSeconds,Throughput Standard Deviation,EWMA,ARIMA,Throughputs,EWMA Anomaly(T/F),ARIMA Anomaly(T/F),DBSCAN Anomaly(T/F)
10.10.1.36,37868,10.10.0.2,53,17,2022-08-11T05:03:53.000-07:00,"",[0.0],"",[0E-18],[false],[false],[true]
10.10.0.3,42140,10.0.2.3,53,17,2022-08-11T05:03:53.000-07:00,"",[0.0],"",[0E-18],[false],[false],[true]
10.10.0.3,45639,10.0.2.3,53,17,2022-08-11T05:03:53.000-07:00,"",[0.0],"",[0E-18],[false],[false],[true]
10.10.1.36,41949,10.10.0.2,53,17,2022-08-11T05:03:53.000-07:00,"",[0.0],"",[0E-18],[false],[false],[true]
10.10.1.36,60044,10.10.0.2,53,17,2022-08-11T05:03:53.000-07:00,"",[0.0],"",[0E-18],[false],[false],[true]
10.10.1.36,46267,10.10.0.2,53,17,2022-08-11T05:03:53.000-07:00,"",[0.0],"",[0E-18],[false],[false],[true]
10.10.1.25,42340,10.10.1.33,5201,6,2022-08-10T20:34:16.000-07:00,13.435028842544403,"[0.0, 9.5]","","[0E-18, 19.000000000000000000]","[false, false]",[false],"[true, true]"
10.10.1.36,49714,10.10.0.3,53,17,2022-08-11T05:03:53.000-07:00,"",[0.0],"",[0E-18],[false],[false],[true]
10.10.1.25,37156,10.10.1.33,5201,6,2022-08-08T21:41:26.000-07:00,1299486.3259287458,"[2.003718432E9, 3.004367176E9, 3.5045943765E9, 3.75590076425E9, 3.881175004125E9, 3.9430105210625E9, 3.97412219153125E9, 3.990109529265625E9, 3.9982084861328125E9, 4.0009325630664062E9, 4.003765919533203E9, 4.0050532377666016E9, 4.005086218883301E9, 4.0053898294416504E9, 4.005633317720825E9, 4.0059817673604126E9, 4.0057192676802063E9, 4.005736500840103E9, 4.0053327704200516E9, 4.005424637710026E9, 4.005473342855013E9, 4.0060121719275064E9, 4.006064693963753E9, 4.0060768649818764E9, 4.006740006490938E9, 4.005751543745469E9, 4.0056106788727345E9, 4.006390622436367E9, 4.0059464312181835E9, 4.0051850411090918E9, 4.003554824554546E9, 4.003408660277273E9, 4.0048935906386366E9, 4.0052064048193183E9, 4.0061976374096594E9, 4.0060259497048297E9, 4.007709468852415E9, 4.0066708064262075E9, 4.005593063713104E9, 4.005437184356552E9, 4.004975684678276E9, 4.005606883839138E9, 4.005920377919569E9, 4.0057626049597845E9, 4.0056766879798923E9, 4.0060569039899464E9, 4.005304574994973E9, 4.0053636984974866E9, 4.005059551248743E9, 4.0057631451243715E9, 4.004597302062186E9, 4.0053041540310926E9, 4.0054467250155463E9, 4.0054237910077734E9, 4.0054977545038867E9, 4.0066469377519436E9, 4.006362678375972E9, 4.005953428687986E9, 4.005776966843993E9, 4.0033674334219966E9]","[Infinity, Infinity, Infinity, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[4007436864.000000000000000000, 4005015920.000000000000000000, 4004821577.000000000000000000, 4007207152.000000000000000000, 4006449244.000000000000000000, 4004846038.000000000000000000, 4005233862.000000000000000000, 4006096867.000000000000000000, 4006307443.000000000000000000, 4003656640.000000000000000000, 4006599276.000000000000000000, 4006340556.000000000000000000, 4005119200.000000000000000000, 4005693440.000000000000000000, 4005876806.000000000000000000, 4006330217.000000000000000000, 4005456768.000000000000000000, 4005753734.000000000000000000, 4004929040.000000000000000000, 4005516505.000000000000000000, 4005522048.000000000000000000, 4006551001.000000000000000000, 4006117216.000000000000000000, 4006089036.000000000000000000, 4007403148.000000000000000000, 4004763081.000000000000000000, 4005469814.000000000000000000, 4007170566.000000000000000000, 4005502240.000000000000000000, 4004423651.000000000000000000, 4001924608.000000000000000000, 4003262496.000000000000000000, 4006378521.000000000000000000, 4005519219.000000000000000000, 4007188870.000000000000000000, 4005854262.000000000000000000, 4009392988.000000000000000000, 4005632144.000000000000000000, 4004515321.000000000000000000, 4005281305.000000000000000000, 4004514185.000000000000000000, 4006238083.000000000000000000, 4006233872.000000000000000000, 4005604832.000000000000000000, 4005590771.000000000000000000, 4006437120.000000000000000000, 4004552246.000000000000000000, 4005422822.000000000000000000, 4004755404.000000000000000000, 4006466739.000000000000000000, 4003431459.000000000000000000, 4006011006.000000000000000000, 4005589296.000000000000000000, 4005400857.000000000000000000, 4005571718.000000000000000000, 4007796121.000000000000000000, 4006078419.000000000000000000, 4005544179.000000000000000000, 4005600505.000000000000000000, 4000957900.000000000000000000]","[true, true, true, true, true, true, true, true, true, true, true, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, false, false, false, true, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, true]","[true, true, true, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false]"
10.10.0.2,39924,10.0.2.3,53,6,2022-08-11T05:03:53.000-07:00,90.50966799187809,"[0.0, 64.0]","","[0E-18, 128.000000000000000000]","[false, false]",[false],"[true, true]"
