sourceIP,sourceTransportPort,destinationIP,destinationTransportPort,protocolIdentifier,flowStartSeconds,Throughput Standard Deviation,EWMA,ARIMA,Throughputs,EWMA Anomaly(T/F),ARIMA Anomaly(T/F),DBSCAN Anomaly(T/F)
10.10.1.25,58076,10.10.1.33,5201,6,2022-08-11T06:26:54.000-07:00,13.435028842544403,"[0.0, 9.5]","","[0E-18, 19.000000000000000000]","[false, false]",[false],"[true, true]"
10.10.1.25,48556,10.10.1.33,5201,6,2022-08-11T05:09:08.000-07:00,4.8879506885770863E8,"[2.003245531E9, 3.0044882615E9, 3.50422866825E9, 3.754826862125E9, 3.8789792050625E9, 3.94152933853125E9, 3.972659576265625E9, 3.9890973541328125E9, 3.9978011390664062E9, 4.001742351533203E9, 4.0032856777666016E9, 4.003884971383301E9, 4.0050965876916504E9, 4.007086693845825E9, 4.0061902249229126E9, 4.0061868164614563E9, 4.006597212730728E9, 4.006879396365364E9, 4.005664570182682E9, 4.007287296091341E9, 4.0075446270456705E9, 4.0058520700228353E9, 4.0054812540114174E9, 4.0062571610057087E9, 4.0056780170028543E9, 4.005931248501427E9, 4.0061426337507133E9, 4.0054306848753567E9, 4.0063452204376783E9, 4.005838469218839E9, 4.00523545060942E9, 4.00546971230471E9, 4.005390723152355E9, 4.0059553295761776E9, 4.005502141288089E9, 4.0061434111440444E9, 4.0059913275720224E9, 4.005965113286011E9, 4.0039018731430054E9, 4.0053676465715027E9, 4.0041940952857513E9, 4.0043672586428757E9, 4.004982505821438E9, 4.004395028910719E9, 4.0057202884553595E9, 4.0053136257276797E9, 4.00528452486384E9, 4.00509291493192E9, 4.00541527796596E9, 4.00513220048298E9, 4.00534255774149E9, 4.0047977108707447E9, 4.0045903159353724E9, 4.005060715967686E9, 4.005645627983843E9, 4.0041146249919214E9, 4.0037825409959607E9, 4.00422862049798E9, 4.00488410824899E9, 2.112061279624495E9]","","[4006491062.000000000000000000, 4005730992.000000000000000000, 4003969075.000000000000000000, 4005425056.000000000000000000, 4003131548.000000000000000000, 4004079472.000000000000000000, 4003789814.000000000000000000, 4005535132.000000000000000000, 4006504924.000000000000000000, 4005683564.000000000000000000, 4004829004.000000000000000000, 4004484265.000000000000000000, 4006308204.000000000000000000, 4009076800.000000000000000000, 4005293756.000000000000000000, 4006183408.000000000000000000, 4007007609.000000000000000000, 4007161580.000000000000000000, 4004449744.000000000000000000, 4008910022.000000000000000000, 4007801958.000000000000000000, 4004159513.000000000000000000, 4005110438.000000000000000000, 4007033068.000000000000000000, 4005098873.000000000000000000, 4006184480.000000000000000000, 4006354019.000000000000000000, 4004718736.000000000000000000, 4007259756.000000000000000000, 4005331718.000000000000000000, 4004632432.000000000000000000, 4005703974.000000000000000000, 4005311734.000000000000000000, 4006519936.000000000000000000, 4005048953.000000000000000000, 4006784681.000000000000000000, 4005839244.000000000000000000, 4005938899.000000000000000000, 4001838633.000000000000000000, 4006833420.000000000000000000, 4003020544.000000000000000000, 4004540422.000000000000000000, 4005597753.000000000000000000, 4003807552.000000000000000000, 4007045548.000000000000000000, 4004906963.000000000000000000, 4005255424.000000000000000000, 4004901305.000000000000000000, 4005737641.000000000000000000, 4004849123.000000000000000000, 4005552915.000000000000000000, 4004252864.000000000000000000, 4004382921.000000000000000000, 4005531116.000000000000000000, 4006230540.000000000000000000, 4002583622.000000000000000000, 4003450457.000000000000000000, 4004674700.000000000000000000, 4005539596.000000000000000000, 219238451.000000000000000000]","[true, true, true, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, true]",[false],"[false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, true]"
10.10.1.25,56578,10.10.1.33,5201,6,2022-08-11T06:14:58.000-07:00,13.435028842544403,"[0.0, 9.5]","","[0E-18, 19.000000000000000000]","[false, false]",[false],"[true, true]"
10.10.1.25,60778,10.10.1.33,5201,6,2022-08-11T06:49:26.000-07:00,1.1930746361073964E9,"[2.00211895E9, 3.1496997485E9, 3.57437219875E9, 3.686941308875E9, 4.4936178044375E9, 2.73296774371875E9, 3.284391985359375E9, 3.6379201491796875E9, 2.7806690695898438E9, 6.110907126794922E9, 4.919245031897461E9, 4.50976945494873E9, 7.137664375474365E9, 5.620726720237183E9, 4.812611566118591E9, 4.816972594059296E9, 4.468015583029648E9, 4.236144789514824E9, 4.132992245757412E9, 4.085092831378706E9, 4.147666801189353E9, 4.0676742485946765E9, 4.0591209847973385E9, 4.1416791273986692E9, 4.0778486386993346E9, 4.0627123973496675E9, 4.043198294674834E9, 4.0286552253374166E9, 4.0129707916687083E9, 4.0852526738343544E9, 4.051969141417177E9, 4.0294010727085886E9, 4.0033453923542943E9, 4.007567084677147E9, 4.0056428763385735E9, 4.0097641786692867E9, 4.0067189883346434E9, 4.0016535196673217E9, 3.997962425333661E9, 4.0010094811668305E9, 4.008821689083415E9, 4.0051242105417075E9, 3.997028812270854E9, 4.001568994635427E9, 4.0110111708177137E9, 3.996036039408857E9, 4.0092151507044287E9, 3.9817101878522143E9, 4.0008819099261074E9, 3.8499955099630537E9, 3.908325527481527E9, 3.5360472437407637E9, 3.709250666370382E9, 3.953880427185191E9, 3.8895330805925956E9, 3.854497372296298E9, 4.3338703531481495E9, 3.5794730210740747E9]","[4.0042379000000057E9, 4.297280547000005E9, 3.999044649000007E9, 4.299864744433794E9, 3.828176798923175E9, 5.5236400188328285E9, 9.489296838244764E9, 3.01302280810653E9, 3.3360136000988393E9, 2.6761842953166175E9, 4.773847970186563E9, 4.0517124252605925E9, 3.992942893519745E9, 5.718128281945685E9, 5.433534899556953E9, 4.8082874237968855E9, 4.725975041941758E9, 4.616794854480226E9, 4.458668006101227E9, 4.345217303439574E9, 4.269260590650741E9, 4.238067170942596E9, 4.2076256985965166E9, 4.1654093283441606E9, 4.1589149770477347E9, 4.15705412301856E9, 4.1303357829431186E9, 4.112933168561676E9, 4.0955576662980304E9, 4.079799312626017E9, 4.0727058909743605E9, 4.085166797782385E9, 4.0734193152812805E9, 4.061594035499087E9, 4.048395448795104E9, 4.043330189533528E9, 4.038089720730942E9, 4.0355177827134414E9, 4.031870435876557E9, 4.0279021983925734E9, 4.0289821889051085E9, 4.029084469992212E9, 4.0300445861685457E9, 4.032328201945456E9, 4.0317859126416483E9, 4.03069334592688E9, 4.036027591438054E9, 4.0313607568607306E9, 4.040242411753518E9, 4.0317571700634274E9, 4.072575451115181E9, 4.03210044804162E9, 4.138637483268259E9, 4.02144889501482E9, 3.9810638487956157E9, 4.032688997933923E9, 4.0305083288384814E9, 3.903753649427073E9]","[4004237900.000000000000000000, 4297280547.000000000000000000, 3999044649.000000000000000000, 3799510419.000000000000000000, 5300294300.000000000000000000, 972317683.000000000000000000, 3835816227.000000000000000000, 3991448313.000000000000000000, 1923417990.000000000000000000, 9441145184.000000000000000000, 3727582937.000000000000000000, 4100293878.000000000000000000, 9765559296.000000000000000000, 4103789065.000000000000000000, 4004496412.000000000000000000, 4821333622.000000000000000000, 4119058572.000000000000000000, 4004273996.000000000000000000, 4029839702.000000000000000000, 4037193417.000000000000000000, 4210240771.000000000000000000, 3987681696.000000000000000000, 4050567721.000000000000000000, 4224237270.000000000000000000, 4014018150.000000000000000000, 4047576156.000000000000000000, 4023684192.000000000000000000, 4014112156.000000000000000000, 3997286358.000000000000000000, 4157534556.000000000000000000, 4018685609.000000000000000000, 4006833004.000000000000000000, 3977289712.000000000000000000, 4011788777.000000000000000000, 4003718668.000000000000000000, 4013885481.000000000000000000, 4003673798.000000000000000000, 3996588051.000000000000000000, 3994271331.000000000000000000, 4004056537.000000000000000000, 4016633897.000000000000000000, 4001426732.000000000000000000, 3988933414.000000000000000000, 4006109177.000000000000000000, 4020453347.000000000000000000, 3981060908.000000000000000000, 4022394262.000000000000000000, 3954205225.000000000000000000, 4020053632.000000000000000000, 3699109110.000000000000000000, 3966655545.000000000000000000, 3163768960.000000000000000000, 3882454089.000000000000000000, 4198510188.000000000000000000, 3825185734.000000000000000000, 3819461664.000000000000000000, 4813243334.000000000000000000, 2825075689.000000000000000000]","[true, false, false, false, false, true, false, false, false, true, false, false, true, true, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false]","[false, false, false, false, true, true, true, false, true, true, false, false, true, true, true, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false]","[false, false, false, false, true, true, false, false, true, true, false, false, true, false, false, true, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, true, false, false, false, false, true, true]"
10.10.1.25,42340,10.10.1.33,5201,6,2022-08-10T20:34:16.000-07:00,13.435028842544403,"[0.0, 9.5]","","[0E-18, 19.000000000000000000]","[false, false]",[false],"[true, true]"
10.10.1.25,37156,10.10.1.33,5201,6,2022-08-08T21:41:26.000-07:00,1299486.3259287458,"[2.003718432E9, 3.004367176E9, 3.5045943765E9, 3.75590076425E9, 3.881175004125E9, 3.9430105210625E9, 3.97412219153125E9, 3.990109529265625E9, 3.9982084861328125E9, 4.0009325630664062E9, 4.003765919533203E9, 4.0050532377666016E9, 4.005086218883301E9, 4.0053898294416504E9, 4.005633317720825E9, 4.0059817673604126E9, 4.0057192676802063E9, 4.005736500840103E9, 4.0053327704200516E9, 4.005424637710026E9, 4.005473342855013E9, 4.0060121719275064E9, 4.006064693963753E9, 4.0060768649818764E9, 4.006740006490938E9, 4.005751543745469E9, 4.0056106788727345E9, 4.006390622436367E9, 4.0059464312181835E9, 4.0051850411090918E9, 4.003554824554546E9, 4.003408660277273E9, 4.0048935906386366E9, 4.0052064048193183E9, 4.0061976374096594E9, 4.0060259497048297E9, 4.007709468852415E9, 4.0066708064262075E9, 4.005593063713104E9, 4.005437184356552E9, 4.004975684678276E9, 4.005606883839138E9, 4.005920377919569E9, 4.0057626049597845E9, 4.0056766879798923E9, 4.0060569039899464E9, 4.005304574994973E9, 4.0053636984974866E9, 4.005059551248743E9, 4.0057631451243715E9, 4.004597302062186E9, 4.0053041540310926E9, 4.0054467250155463E9, 4.0054237910077734E9, 4.0054977545038867E9, 4.0066469377519436E9, 4.006362678375972E9, 4.005953428687986E9, 4.005776966843993E9, 4.0033674334219966E9]","[Infinity, Infinity, Infinity, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[4007436864.000000000000000000, 4005015920.000000000000000000, 4004821577.000000000000000000, 4007207152.000000000000000000, 4006449244.000000000000000000, 4004846038.000000000000000000, 4005233862.000000000000000000, 4006096867.000000000000000000, 4006307443.000000000000000000, 4003656640.000000000000000000, 4006599276.000000000000000000, 4006340556.000000000000000000, 4005119200.000000000000000000, 4005693440.000000000000000000, 4005876806.000000000000000000, 4006330217.000000000000000000, 4005456768.000000000000000000, 4005753734.000000000000000000, 4004929040.000000000000000000, 4005516505.000000000000000000, 4005522048.000000000000000000, 4006551001.000000000000000000, 4006117216.000000000000000000, 4006089036.000000000000000000, 4007403148.000000000000000000, 4004763081.000000000000000000, 4005469814.000000000000000000, 4007170566.000000000000000000, 4005502240.000000000000000000, 4004423651.000000000000000000, 4001924608.000000000000000000, 4003262496.000000000000000000, 4006378521.000000000000000000, 4005519219.000000000000000000, 4007188870.000000000000000000, 4005854262.000000000000000000, 4009392988.000000000000000000, 4005632144.000000000000000000, 4004515321.000000000000000000, 4005281305.000000000000000000, 4004514185.000000000000000000, 4006238083.000000000000000000, 4006233872.000000000000000000, 4005604832.000000000000000000, 4005590771.000000000000000000, 4006437120.000000000000000000, 4004552246.000000000000000000, 4005422822.000000000000000000, 4004755404.000000000000000000, 4006466739.000000000000000000, 4003431459.000000000000000000, 4006011006.000000000000000000, 4005589296.000000000000000000, 4005400857.000000000000000000, 4005571718.000000000000000000, 4007796121.000000000000000000, 4006078419.000000000000000000, 4005544179.000000000000000000, 4005600505.000000000000000000, 4000957900.000000000000000000]","[true, true, true, true, true, true, true, true, true, true, true, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, true, false, true, false, false, false, true, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, true]","[true, true, true, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false]"
10.10.1.25,53812,10.10.1.33,5201,6,2022-08-11T05:51:59.000-07:00,3.9165875066480625E8,"[2.0037879805E9, 3.00547640925E9, 3.504725095625E9, 3.7546101413125E9, 3.88014118415625E9, 3.942838660578125E9, 3.9737826082890625E9, 3.9891508366445312E9, 4.0422259238222656E9, 4.023881091411133E9, 4.0133455117055664E9, 4.009677739852783E9, 4.0022609179263916E9, 4.003406165963196E9, 4.004618005981598E9, 4.011460226990799E9, 4.0101011084953995E9, 4.0096877362476997E9, 4.00743734612385E9, 4.007263812061925E9, 4.0067219300309625E9, 4.003173953515481E9, 4.0032229527577405E9, 4.00467698037887E9, 4.004386154189435E9, 4.0053929585947175E9, 4.0008165752973585E9, 4.0026547161486793E9, 4.00100338657434E9, 4.00244059378717E9, 4.001518389393585E9, 4.0028803431967926E9, 4.0037897905983963E9, 4.004467922299198E9, 4.004586237649599E9, 4.0053749553247995E9, 4.0053432356624E9, 4.0054394718311996E9, 4.0053760379156E9, 4.0054418874578E9, 4.0045572187289E9, 4.00482468586445E9, 4.005453955432225E9, 4.0057427277161126E9, 4.006605433858056E9, 4.006433018929028E9, 4.006728800464514E9, 4.006663232232257E9, 4.0062708481161284E9, 4.0054887070580645E9, 4.006135759529032E9, 4.005744077764516E9, 4.006010659382258E9, 4.0063205516911287E9, 4.0058186243455644E9, 4.006923956672782E9, 4.005819934836391E9, 4.0056353129181957E9, 4.007059696459098E9, 2.490745331229549E9]","","[4007575961.000000000000000000, 4007164838.000000000000000000, 4003973782.000000000000000000, 4004495187.000000000000000000, 4005672227.000000000000000000, 4005536137.000000000000000000, 4004726556.000000000000000000, 4004519065.000000000000000000, 4095301011.000000000000000000, 4005536259.000000000000000000, 4002809932.000000000000000000, 4006009968.000000000000000000, 3994844096.000000000000000000, 4004551414.000000000000000000, 4005829846.000000000000000000, 4018302448.000000000000000000, 4008741990.000000000000000000, 4009274364.000000000000000000, 4005186956.000000000000000000, 4007090278.000000000000000000, 4006180048.000000000000000000, 3999625977.000000000000000000, 4003271952.000000000000000000, 4006131008.000000000000000000, 4004095328.000000000000000000, 4006399763.000000000000000000, 3996240192.000000000000000000, 4004492857.000000000000000000, 3999352057.000000000000000000, 4003877801.000000000000000000, 4000596185.000000000000000000, 4004242297.000000000000000000, 4004699238.000000000000000000, 4005146054.000000000000000000, 4004704553.000000000000000000, 4006163673.000000000000000000, 4005311516.000000000000000000, 4005535708.000000000000000000, 4005312604.000000000000000000, 4005507737.000000000000000000, 4003672550.000000000000000000, 4005092153.000000000000000000, 4006083225.000000000000000000, 4006031500.000000000000000000, 4007468140.000000000000000000, 4006260604.000000000000000000, 4007024582.000000000000000000, 4006597664.000000000000000000, 4005878464.000000000000000000, 4004706566.000000000000000000, 4006782812.000000000000000000, 4005352396.000000000000000000, 4006277241.000000000000000000, 4006630444.000000000000000000, 4005316697.000000000000000000, 4008029289.000000000000000000, 4004715913.000000000000000000, 4005450691.000000000000000000, 4008484080.000000000000000000, 974430966.000000000000000000]","[true, true, true, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, true]",[false],"[false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, true]"
10.10.1.25,37190,10.10.1.33,5201,6,2022-08-08T17:47:57.000-07:00,13.435028842544403,"[0.0, 9.5]","","[0E-18, 19.000000000000000000]","[false, false]",[false],"[true, true]"
10.10.1.25,47064,10.10.1.33,5201,6,2022-08-08T19:11:04.000-07:00,2.47868695469068E8,"[2.003374256E9, 3.0032712205E9, 3.50474368225E9, 3.755595127125E9, 3.8810214175625E9, 3.94319018228125E9, 3.973735875140625E9, 3.9895848510703125E9, 3.9978532015351562E9, 4.001737419767578E9, 4.003547631383789E9, 4.0050838396918945E9, 4.0037851483459473E9, 4.0041308381729736E9, 4.004961127586487E9, 4.0051165537932434E9, 4.0051819118966217E9, 4.005329693448311E9, 4.0057015472241554E9, 4.0048527431120777E9, 4.004938773056039E9, 4.0047947975280194E9, 4.0053576962640095E9, 4.0053061441320047E9, 4.0045332605660024E9, 4.004694433283001E9, 4.0050288946415005E9, 4.00485228882075E9, 4.005193272410375E9, 4.005139012205188E9, 4.005150514102594E9, 4.005237455051297E9, 4.0052445255256486E9, 4.005069091262824E9, 4.006012142131412E9, 4.0055798820657063E9, 4.005443312032853E9, 4.0059895790164266E9, 4.005647295008213E9, 4.0055890395041065E9, 4.0058649997520533E9, 4.0061629478760266E9, 4.006610044938013E9, 4.0058549999690065E9, 4.0055907379845033E9, 4.0055601784922514E9, 4.0055926137461257E9, 4.005237100373063E9, 4.0055838811865315E9, 4.0065882700932655E9, 4.006063653046633E9, 4.0058931160233164E9, 4.005501766011658E9, 4.005632198005829E9, 4.0054129180029144E9, 4.007092239501457E9, 4.0067468747507286E9, 4.0048772098753643E9, 4.005403186937682E9, 3.045458066968841E9]","","[4006748512.000000000000000000, 4003168185.000000000000000000, 4006216144.000000000000000000, 4006446572.000000000000000000, 4006447708.000000000000000000, 4005358947.000000000000000000, 4004281568.000000000000000000, 4005433827.000000000000000000, 4006121552.000000000000000000, 4005621638.000000000000000000, 4005357843.000000000000000000, 4006620048.000000000000000000, 4002486457.000000000000000000, 4004476528.000000000000000000, 4005791417.000000000000000000, 4005271980.000000000000000000, 4005247270.000000000000000000, 4005477475.000000000000000000, 4006073401.000000000000000000, 4004003939.000000000000000000, 4005024803.000000000000000000, 4004650822.000000000000000000, 4005920595.000000000000000000, 4005254592.000000000000000000, 4003760377.000000000000000000, 4004855606.000000000000000000, 4005363356.000000000000000000, 4004675683.000000000000000000, 4005534256.000000000000000000, 4005084752.000000000000000000, 4005162016.000000000000000000, 4005324396.000000000000000000, 4005251596.000000000000000000, 4004893657.000000000000000000, 4006955193.000000000000000000, 4005147622.000000000000000000, 4005306742.000000000000000000, 4006535846.000000000000000000, 4005305011.000000000000000000, 4005530784.000000000000000000, 4006140960.000000000000000000, 4006460896.000000000000000000, 4007057142.000000000000000000, 4005099955.000000000000000000, 4005326476.000000000000000000, 4005529619.000000000000000000, 4005625049.000000000000000000, 4004881587.000000000000000000, 4005930662.000000000000000000, 4007592659.000000000000000000, 4005539036.000000000000000000, 4005722579.000000000000000000, 4005110416.000000000000000000, 4005762630.000000000000000000, 4005193638.000000000000000000, 4008771561.000000000000000000, 4006401510.000000000000000000, 4003007545.000000000000000000, 4005929164.000000000000000000, 2085512947.000000000000000000]","[true, true, true, true, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, true]",[false],"[false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, true]"
10.10.1.25,48554,10.10.1.33,5201,6,2022-08-11T05:09:08.000-07:00,13.435028842544403,"[0.0, 9.5]","","[0E-18, 19.000000000000000000]","[false, false]",[false],"[true, true]"
